,Average score,Additional score,Optimization score,At least one,Length of correlation,Lambda,N
3066,0.0,0.0,1.0,0,0.5,10,1
3067,1.0,1.0,1.0,1,0.5,10,1
3068,0.0,0.0,1.0,0,0.5,10,1
3069,0.0,0.0,1.0,0,0.5,10,1
3070,0.1,0.1,1.0,1,0.5,10,10
3071,0.3,0.3,1.0,1,0.5,10,10
3072,0.0,0.0,1.0,0,0.5,10,10
3073,0.1,0.1,1.0,1,0.5,10,10
3074,0.1,0.1,0.9,1,0.5,10,10
3075,0.2,0.2,1.0,1,0.5,10,10
3076,0.5,0.5,1.0,1,0.5,10,10
3077,0.1,0.2,0.9,1,0.5,10,10
3078,0.3,0.3,1.0,1,0.5,10,10
3079,0.1,0.1,1.0,1,0.5,10,10
3080,0.12,0.12,0.99,1,0.5,10,100
3081,0.16,0.18,0.94,1,0.5,10,100
3082,0.12,0.12,0.97,1,0.5,10,100
3083,0.2,0.2,0.97,1,0.5,10,100
3084,0.16,0.17,0.98,1,0.5,10,100
3085,0.23,0.24,0.96,1,0.5,10,100
3086,0.17,0.18,0.95,1,0.5,10,100
3087,0.21,0.21,0.98,1,0.5,10,100
3088,0.18,0.19,0.96,1,0.5,10,100
3089,0.11,0.12,0.94,1,0.5,10,100
3090,0.0,0.0,1.0,0,0.5,100,1
3091,0.0,0.0,1.0,0,0.5,100,1
3092,0.0,0.0,1.0,0,0.5,100,1
3093,0.0,0.0,1.0,0,0.5,100,1
3094,1.0,1.0,1.0,1,0.5,100,1
3095,0.0,0.0,1.0,0,0.5,100,1
3096,0.0,0.0,1.0,0,0.5,100,1
