smiles,value
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCCCO,8.77
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.11
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,7.8
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,6.09
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1N1CCN(C)CC1,6.60206
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCN(C)C,8.41
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCN(C)CC1,8.77
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCOCC1,8.44
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1,8.52
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.04
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCN(C)CC1,8.7
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCOCC1,8.82
C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.32
C=CC(=O)Nc1cc2nc[nH]c(Nc3ccc(F)c(Br)c3)c-2n1,8.92082
C=CC(=O)Nc1cc2nc[nH]c(Nc3cccc(Br)c3)c-2n1,8.96
C=CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.27
C=CC(=O)Nc1cc2ncnc(Nc3cccc(Cl)c3)c2cn1,9.27003
C=CC(=O)Nc1ccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)cc1,7.09
C=CC(=O)Nc1ccc(-n2c(=O)c(C)nc3cnc(Nc4ccc(OC)cc4)nc32)cc1,4.79
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(Cl)cc4)nc32)cc1,6.43
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)cc1,5.96
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)cc1,6.4034
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)cc1,5.25298
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(OC)cc4)nc32)cc1,5.29
C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Oc3ccccc3)cc2)c(O)c1,5.59
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Br)c2)c(O)c1,8.5
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)N(CC)CC)c2)c(O)c1,6.83
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)N3CCCC3)c2)c(O)c1,7.6
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)N3CCCCC3)c2)c(O)c1,8.48
